date,bitcoin,ethereum,tether,binance-usd,solana,usd-coin,ripple,dogecoin,cardano,shiba-inu
2015-05-13,50100818.2870869,0.0,4.0,0.0,0.0,0.0,931983.71435407,461926.5660392899,0.0,0.0
2015-05-14,56975125.501362815,0.0,879.0,0.0,0.0,0.0,639446.7019715194,200268.08302662164,0.0,0.0
2015-05-15,39256136.30427565,0.0,265.0,0.0,0.0,0.0,252413.897106626,158610.22797345312,0.0,0.0
2015-05-16,26856157.04234676,0.0,139.0,0.0,0.0,0.0,67763.93815060881,84499.99386563901,0.0,0.0
2015-05-17,24401603.48024925,0.0,194.0,0.0,0.0,0.0,355658.8612653525,64247.55013181635,0.0,0.0
2015-05-18,33772801.85844162,0.0,680.0,0.0,0.0,0.0,1222401.3574562843,60363.66754590908,0.0,0.0
2015-05-19,31085021.505248632,0.0,23179.0,0.0,0.0,0.0,990976.8542198602,222206.08136509988,0.0,0.0
2015-05-20,28778007.286285885,0.0,25185.0,0.0,0.0,0.0,467420.88078784687,294958.79335489473,0.0,0.0
2015-05-21,27373179.763544746,0.0,9751.0,0.0,0.0,0.0,182847.5465794344,141358.55004494896,0.0,0.0
2015-05-22,54518478.95936304,0.0,46241.0,0.0,0.0,0.0,235787.48225875795,264623.69805265864,0.0,0.0
2015-05-23,47757592.65993454,0.0,18579.0,0.0,0.0,0.0,303130.7415894043,389118.5309562192,0.0,0.0
2015-05-24,29761665.976133663,0.0,1367.0,0.0,0.0,0.0,145157.050944778,241493.1858293175,0.0,0.0
2015-05-25,30834563.231427405,0.0,6858.0,0.0,0.0,0.0,305313.4451056279,202518.71629685868,0.0,0.0
2015-05-26,30268982.762250736,0.0,626.0,0.0,0.0,0.0,472593.09719923965,417419.6479794097,0.0,0.0
2015-05-27,30728765.83133291,0.0,646.0,0.0,0.0,0.0,399468.5659285029,327968.103932399,0.0,0.0
2015-05-28,26801090.327187903,0.0,78534.0,0.0,0.0,0.0,1200481.5645711946,901516.6489653272,0.0,0.0
2015-05-29,31108417.12996518,0.0,17145.0,0.0,0.0,0.0,1457278.4599720156,211915.0346482503,0.0,0.0
2015-05-30,31403744.863089006,0.0,24060.0,0.0,0.0,0.0,479474.8978388938,495006.69743127015,0.0,0.0
2015-05-31,23353985.64778831,0.0,4982.0,0.0,0.0,0.0,244931.68752303548,342078.34584289155,0.0,0.0
2015-06-01,43602264.82379089,0.0,6808.0,0.0,0.0,0.0,674742.6732427458,345660.9443736061,0.0,0.0
